 FAIL (expected valid, actually invalid) http://www.yahoo.com:54321/testing//file?anythinggoes=view
 FAIL (expected valid, actually invalid) http://www.yahoo.com:54321/testing//file?anythinggoes=test&mode=up
 FAIL (expected valid, actually invalid) http://www.yahoo.com:54321/testing//file
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testing?anythinggoes=view
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testing?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testing
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testt123?anythinggoes=view
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testt123?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testt123
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/$2$3?anythinggoes=view
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/$2$3?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/$2$3
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/..?anythinggoes=view
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/..?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/..
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/../?anythinggoes=view
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/../?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/../
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testbla/?anythinggoes=view
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testbla/?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testbla/
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a?anythinggoes=view
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testing/file?anythinggoes=view
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testing/file?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testing/file
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/..//file?anythinggoes=view
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/..//file?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/..//file
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testing//file?anythinggoes=view
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testing//file?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://www.yahoo.com:65a/testing//file
 FAIL (expected valid, actually invalid) http://yahoo.com:90/testing?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:90/testing?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com:90/testing
 FAIL (expected valid, actually invalid) http://yahoo.com:90/testt123?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:90/testt123?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com:90/testt123
 FAIL (expected valid, actually invalid) http://yahoo.com:90/$2$3?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:90/$2$3?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com:90/$2$3
PASS (expected invalid, actually invalid) http://yahoo.com:90/..?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:90/..?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:90/..
PASS (expected invalid, actually invalid) http://yahoo.com:90/../?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:90/../?anythinggoes=test&mode=up
PASS (expected invalid, actually invalid) http://yahoo.com:90/../
 FAIL (expected valid, actually invalid) http://yahoo.com:90/testbla/?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:90/testbla/?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com:90/testbla/
 FAIL (expected valid, actually invalid) http://yahoo.com:90?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:90?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com:90
 FAIL (expected valid, actually invalid) http://yahoo.com:90/testing/file?anythinggoes=view
 FAIL (expected valid, actually invalid) http://yahoo.com:90/testing/file?anythinggoes=test&mode=up
PASS (expected valid, actually valid) http://yahoo.com:90/testing/file
PASS (expected invalid, actually invalid) http://yahoo.com:90/..//file?anythinggoes=view
PASS (expected invalid, actually invalid) http://yahoo.com:90/..//file?anythinggoes=test&mode=up
